단어,빈도,category
적,4.840107517675637,신나는
바라봐,4.8246583751343115,신나는
거짓말,4.8074956449327635,신나는
미안해,4.798609368236004,신나는
되는,4.796220687597947,신나는
그대와,4.794072899942912,신나는
사랑의,4.789075296101933,신나는
언젠가,4.785522857042195,신나는
빛,4.784568058182365,신나는
눈부셔,4.78340741289959,신나는
그리고,4.781430557435867,신나는
어디로,4.773299850598933,신나는
땜에,4.7664552730528476,신나는
홀로,4.763113639299319,신나는
사랑에,4.754533552189108,신나는
달이,4.744075387946409,신나는
다들,4.725621876133582,신나는
모습을,4.697047640294159,신나는
보여줄게,4.691587337435807,신나는
마요,4.681303518102323,신나는
알잖아,4.66941579660761,신나는
말이야,4.6610000555630435,신나는
듣고,4.659375183998411,신나는
입술,4.656081139594206,신나는
하늘에,4.652485564877827,신나는
똑같은,4.652321452468352,신나는
머리부터,4.642148791302028,신나는
슬픈,4.641615262520049,신나는
리듬,4.636074622512938,신나는
정신,4.630959375844283,신나는
기억,4.627345193179027,신나는
터질,4.615857199541561,신나는
데려가,4.612752070755072,신나는
듯해,4.600316907565355,신나는
그래도,4.576380195879644,신나는
너만의,4.570514141319628,신나는
눈치,4.550225946057818,신나는
않아도,4.550010262730885,신나는
빠져들어,4.548398264081326,신나는
올,4.536255866914471,신나는
사람들,4.531578537289763,신나는
밤에,4.529186663627766,신나는
이유,4.512126227746017,신나는
무대,4.496780236343622,신나는
차라리,4.476643070268973,신나는
느껴봐,4.475264365096888,신나는
나랑,4.474882169795587,신나는
뻔한,4.469731422090702,신나는
테니,4.465612754153484,신나는
도대체,4.452905248934304,신나는
지금부터,4.449162120173932,신나는
어느,4.446344082306231,신나는
되고,4.4389380893879276,신나는
여전히,4.437894063540161,신나는
시원한,4.437724794265629,신나는
걱정,4.419049383674944,신나는
제일,4.417556711358889,신나는
조금만,4.409478765484502,신나는
불러줘,4.405520176309879,신나는
일어나,4.398438352316295,신나는
발끝까지,4.382857355452503,신나는
그대의,4.382258046566005,신나는
춰,4.380584524115405,신나는
뭐든,4.369223063671827,신나는
가진,4.354717039531196,신나는
온통,4.353658089697625,신나는
이래,4.353249382730557,신나는
안고,4.318862244634056,신나는
떠나자,4.318194490728484,신나는
순간을,4.31545604939553,신나는
원한다면,4.312250724977137,신나는
어차피,4.28561795223742,신나는
사랑이란,4.284778770549123,신나는
떠나,4.279465886207794,신나는
특별한,4.278118785726885,신나는
외쳐,4.277651110547474,신나는
완벽해,4.26835953329825,신나는
말아,4.262564044769502,신나는
모든걸,4.2528529823152175,신나는
돌려,4.249277633946369,신나는
빠진,4.243234141664379,신나는
모습이,4.239429294998651,신나는
속의,4.236031752027424,신나는
일이,4.23477112163738,신나는
그대가,4.2340984633681495,신나는
울려,4.228217255095276,신나는
사실,4.220773610977936,신나는
입,4.208735142793969,신나는
닿을,4.2007373759096875,신나는
어머,4.198735529226847,신나는
날아가,4.19854831686659,신나는
담아,4.19837058865683,신나는
가득히,4.19101808167917,신나는
흘러,4.189701053647965,신나는
할래,4.189618872944602,신나는
채로,4.188708121327466,신나는
위를,4.186271254257796,신나는
것이,4.180060591983533,신나는
함께라면,4.17673826223125,신나는
